sentences,tokens,ner_tokens,FUNDAMENTO,DATA,ORGANIZACAO,PESSOA,PRODUTODELEI,LOCAL,EVENTO,lem_sentence,stem_sentence,id
"sala das sessões , em de de 2019 .","['sala', 'das', 'sessões', ',', 'em', 'de', 'de', '2019', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O']",0,1,0,0,0,0,0,sala sessão 2019,sal sess 2019,0
"cremos que estes avisos , afixados em qualquer estabelecimento podem servir para a formação da consciência sanitária dos motoristas e inibir comportamentos de risco à saúde de todos .","['cremos', 'que', 'estes', 'avisos', ',', 'afixados', 'em', 'qualquer', 'estabelecimento', 'podem', 'servir', 'para', 'a', 'formação', 'da', 'consciência', 'sanitária', 'dos', 'motoristas', 'e', 'inibir', 'comportamentos', 'de', 'risco', 'à', 'saúde', 'de', 'todos', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,1,0,0,0,crer aviso afixar estabelecimento servir formação consciência sanitário motorista inibir comportamento risco saúde,cr avis afix estabelec serv form consci sanitár motor inib comport risc saúd,1
da decisão de que trata o § 12 deste artigo caberá recurso administrativo com efeito suspensivo .,"['da', 'decisão', 'de', 'que', 'trata', 'o', '§', '12', 'deste', 'artigo', 'caberá', 'recurso', 'administrativo', 'com', 'efeito', 'suspensivo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,decisão tratar 12 artigo caber recurso administrativo efeito suspensivo,decis trat 12 artig cab recurs administr efeit suspens,2
"projeto de lei n.º , de 2017 ( do sr .","['projeto', 'de', 'lei', 'n.º', ',', 'de', '2017', '(', 'do', 'sr', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'O']",0,1,0,0,0,0,0,projeto lei n.º 2017 sr,projet lei n.º 2017 sr,3
iracema portella ) dispõe sobre os fundamentos e a política do agroturismo ou turismo rural e dá outras providências .,"['iracema', 'portella', ')', 'dispõe', 'sobre', 'os', 'fundamentos', 'e', 'a', 'política', 'do', 'agroturismo', 'ou', 'turismo', 'rural', 'e', 'dá', 'outras', 'providências', '.']","['B-PESSOA', 'I-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,1,0,0,0,iracema portellar dispor fundamento política agroturismo turismo rural providência,iracem portell dispõ fundament polít agrotur tur rural provid,4
"aquela autarquia , aplicando o dispositivo a partir de uma leitura literal da norma , indeferia tais requerimentos , o que levou à proposição de diversas ações na justiça federal em que se pleiteava a aplicação extensiva do parágrafo único do art . 34 do estatuto do idoso . 1 art . 29 .","['aquela', 'autarquia', ',', 'aplicando', 'o', 'dispositivo', 'a', 'partir', 'de', 'uma', 'leitura', 'literal', 'da', 'norma', ',', 'indeferia', 'tais', 'requerimentos', ',', 'o', 'que', 'levou', 'à', 'proposição', 'de', 'diversas', 'ações', 'na', 'justiça', 'federal', 'em', 'que', 'se', 'pleiteava', 'a', 'aplicação', 'extensiva', 'do', 'parágrafo', 'único', 'do', 'art', '.', '34', 'do', 'estatuto', 'do', 'idoso', '.', '1', 'art', '.', '29', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O']",1,0,1,0,0,0,0,autarquia aplicar dispositivo leitura literal norma indefer requerimento levar proposição diversos ação justiça federal pleitear aplicação extensivo parágrafo único art 34 estatuto idoso 1 art 29,autarqu aplic disposi leit liter norm indef requer lev propos divers açõ justiç feder pleite aplic extens parágraf únic art 34 estatut idos 1 art 29,5
"art . 2º as normas regulamentadoras definirão as estratégias para o cumprimento desta determinação , disciplinando sobre os participantes , pessoas físicas ou jurídicas , priorizando para temas voltados para a prevenção de acidentes de trânsito , levando em consideração os aspectos humanos e comportamentais .","['art', '.', '2º', 'as', 'normas', 'regulamentadoras', 'definirão', 'as', 'estratégias', 'para', 'o', 'cumprimento', 'desta', 'determinação', ',', 'disciplinando', 'sobre', 'os', 'participantes', ',', 'pessoas', 'físicas', 'ou', 'jurídicas', ',', 'priorizando', 'para', 'temas', 'voltados', 'para', 'a', 'prevenção', 'de', 'acidentes', 'de', 'trânsito', ',', 'levando', 'em', 'consideração', 'os', 'aspectos', 'humanos', 'e', 'comportamentais', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 2º norma regulamentadoro definir estratégia cumprimento determinação disciplinar participante pessoa físico jurídico priorizar tema voltar prevenção acidente trânsito levar consideração aspecto humano comportamental,art 2º norm regulament defin estratég cumpr determin disciplin particip pesso físic juríd prioriz tem volt prevenç acid trânsit lev consider aspect human comportament,6
os portadores de formas crônicas de hepatite demandam atenção médica especializada constante para que seu quadro não evolua .,"['os', 'portadores', 'de', 'formas', 'crônicas', 'de', 'hepatite', 'demandam', 'atenção', 'médica', 'especializada', 'constante', 'para', 'que', 'seu', 'quadro', 'não', 'evolua', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,portador forma crônica hepatite demandar atenção médico especializar constante quadro evolua,port form crôn hepatit demand atenç médic especi const quadr evolu,7
"outra face deste processo foi a disseminação dos atendimentos automatizados que , além do custo da tarifa , impõem grande perda de tempo e constrangimento aos usuários .","['outra', 'face', 'deste', 'processo', 'foi', 'a', 'disseminação', 'dos', 'atendimentos', 'automatizados', 'que', ',', 'além', 'do', 'custo', 'da', 'tarifa', ',', 'impõem', 'grande', 'perda', 'de', 'tempo', 'e', 'constrangimento', 'aos', 'usuários', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,face processo disseminação atendimento automatizar custo tarifa impor perda constrangimento usuário,fac process dissemin atend autom cust tarif impõ perd constrang usu,8
"assim , considerando que esses recursos surgiriam apenas para o esporte , a alteração feita no texto da lei nº 11.438 / 2006 foi extremamente prejudicial para o desporto e paradesporto brasileiro .","['assim', ',', 'considerando', 'que', 'esses', 'recursos', 'surgiriam', 'apenas', 'para', 'o', 'esporte', ',', 'a', 'alteração', 'feita', 'no', 'texto', 'da', 'lei', 'nº', '11.438', '/', '2006', 'foi', 'extremamente', 'prejudicial', 'para', 'o', 'desporto', 'e', 'paradesporto', 'brasileiro', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,0,0,0,0,0,0,considerar recurso surgir esporte alteração fazer texto lei nº 11.438 2006 extremamente prejudicial desporto paradesporto brasileiro,consider recurs surg esport alter feit text lei nº 11.438 2006 extrem prejudic desport paradesport brasil,9
