sentences,tokens,ner_tokens,FUNDAMENTO,DATA,ORGANIZACAO,PESSOA,PRODUTODELEI,LOCAL,EVENTO,lem_sentence,stem_sentence,id
"sala das sessões , em de de 2019 .","['sala', 'das', 'sessões', ',', 'em', 'de', 'de', '2019', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O']",0,1,0,0,0,0,0,sala sessão 2019,sal sess 2019,0
"projeto de lei n.º , de 2017 ( do sr .","['projeto', 'de', 'lei', 'n.º', ',', 'de', '2017', '(', 'do', 'sr', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'O']",0,1,0,0,0,0,0,projeto lei n.º 2017 sr,projet lei n.º 2017 sr,1
iracema portella ) dispõe sobre os fundamentos e a política do agroturismo ou turismo rural e dá outras providências .,"['iracema', 'portella', ')', 'dispõe', 'sobre', 'os', 'fundamentos', 'e', 'a', 'política', 'do', 'agroturismo', 'ou', 'turismo', 'rural', 'e', 'dá', 'outras', 'providências', '.']","['B-PESSOA', 'I-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,1,0,0,0,iracema portellar dispor fundamento política agroturismo turismo rural providência,iracem portell dispõ fundament polít agrotur tur rural provid,2
deputado maurício dziedricki p l n .4 6 1 5 / 2 0 1 9 a p re s e n ta ç ã o : 2 1 / 0 8 / 2 0 1 9 1 4 : 1 6,"['deputado', 'maurício', 'dziedricki', 'p', 'l', 'n', '.4', '6', '1', '5', '/', '2', '0', '1', '9', 'a', 'p', 're', 's', 'e', 'n', 'ta', 'ç', 'ã', 'o', ':', '2', '1', '/', '0', '8', '/', '2', '0', '1', '9', '1', '4', ':', '1', '6']","['B-PESSOA', 'B-PESSOA', 'I-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,2,0,0,0,deputado Maurício Dziedricki p l n .4 6 1 5 2 0 1 9 p re s n ta ç ã 2 1 0 8 2 0 1 9 1 4 1 6,deput mauríci dziedrick p l n .4 6 1 5 2 0 1 9 p re s n ta ç ã 2 1 0 8 2 0 1 9 1 4 1 6,3
art . 4º esta lei entra em vigor na data de sua publicação .,"['art', '.', '4º', 'esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 4º lei entrar vigor data publicação,art 4º lei entr vig dat public,4
"com o forte crescimento da população idosa masculina no país , a perspectiva é a de crescimento vertiginoso dos casos de câncer de próstata , conforme já constatado pelas estatísticas disponíveis .","['com', 'o', 'forte', 'crescimento', 'da', 'população', 'idosa', 'masculina', 'no', 'país', ',', 'a', 'perspectiva', 'é', 'a', 'de', 'crescimento', 'vertiginoso', 'dos', 'casos', 'de', 'câncer', 'de', 'próstata', ',', 'conforme', 'já', 'constatado', 'pelas', 'estatísticas', 'disponíveis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,forte crescimento população idoso masculino país perspectiva crescimento vertiginoso caso câncer próstata conforme constatar estatística disponível,fort cresc popul idos masculin país perspec cresc vertigin cas cânc próstat conform constat estatís dispon,5
"aquela autarquia , aplicando o dispositivo a partir de uma leitura literal da norma , indeferia tais requerimentos , o que levou à proposição de diversas ações na justiça federal em que se pleiteava a aplicação extensiva do parágrafo único do art . 34 do estatuto do idoso . 1 art . 29 .","['aquela', 'autarquia', ',', 'aplicando', 'o', 'dispositivo', 'a', 'partir', 'de', 'uma', 'leitura', 'literal', 'da', 'norma', ',', 'indeferia', 'tais', 'requerimentos', ',', 'o', 'que', 'levou', 'à', 'proposição', 'de', 'diversas', 'ações', 'na', 'justiça', 'federal', 'em', 'que', 'se', 'pleiteava', 'a', 'aplicação', 'extensiva', 'do', 'parágrafo', 'único', 'do', 'art', '.', '34', 'do', 'estatuto', 'do', 'idoso', '.', '1', 'art', '.', '29', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O']",1,0,1,0,0,0,0,autarquia aplicar dispositivo leitura literal norma indefer requerimento levar proposição diversos ação justiça federal pleitear aplicação extensivo parágrafo único art 34 estatuto idoso 1 art 29,autarqu aplic disposi leit liter norm indef requer lev propos divers açõ justiç feder pleite aplic extens parágraf únic art 34 estatut idos 1 art 29,6
"a câmara dos deputados resolve : art . 1º esta resolução dá denominação ao plenário 2 , do anexo ii , da câmara dos deputados .","['a', 'câmara', 'dos', 'deputados', 'resolve', ':', 'art', '.', '1º', 'esta', 'resolução', 'dá', 'denominação', 'ao', 'plenário', '2', ',', 'do', 'anexo', 'ii', ',', 'da', 'câmara', 'dos', 'deputados', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'O']",0,0,0,0,0,1,0,câmara deputado resolver art 1º resolução denominação plenário 2 anexo ii câmara deputado,câm deput resolv art 1º resoluç denomin plen 2 anex ii câm deput,7
"assim , considerando que esses recursos surgiriam apenas para o esporte , a alteração feita no texto da lei nº 11.438 / 2006 foi extremamente prejudicial para o desporto e paradesporto brasileiro .","['assim', ',', 'considerando', 'que', 'esses', 'recursos', 'surgiriam', 'apenas', 'para', 'o', 'esporte', ',', 'a', 'alteração', 'feita', 'no', 'texto', 'da', 'lei', 'nº', '11.438', '/', '2006', 'foi', 'extremamente', 'prejudicial', 'para', 'o', 'desporto', 'e', 'paradesporto', 'brasileiro', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1,0,0,0,0,0,0,considerar recurso surgir esporte alteração fazer texto lei nº 11.438 2006 extremamente prejudicial desporto paradesporto brasileiro,consider recurs surg esport alter feit text lei nº 11.438 2006 extrem prejudic desport paradesport brasil,8
"o crime já está tipificado no código brasileiro de trânsito , entretanto sua divulgação não consta da lei nº 9.294 / 96 .","['o', 'crime', 'já', 'está', 'tipificado', 'no', 'código', 'brasileiro', 'de', 'trânsito', ',', 'entretanto', 'sua', 'divulgação', 'não', 'consta', 'da', 'lei', 'nº', '9.294', '/', '96', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O']",2,0,0,0,0,0,0,crime tipificado código brasileiro trânsito entretanto divulgação constar lei nº 9.294 96,crim tipific códig brasil trânsit entretant divulg const lei nº 9.294 96,9
"ademais , elencamos as políticas a serem executadas pelo poder público nas áreas especiais de interesse turístico , com vistas ao cumprimento de incentivo à atividade turística .","['ademais', ',', 'elencamos', 'as', 'políticas', 'a', 'serem', 'executadas', 'pelo', 'poder', 'público', 'nas', 'áreas', 'especiais', 'de', 'interesse', 'turístico', ',', 'com', 'vistas', 'ao', 'cumprimento', 'de', 'incentivo', 'à', 'atividade', 'turística', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,1,0,1,0,0,elencar política ser executar público área especial interesse turístico vista cumprimento incentivo atividade turístico,elenc polít ser execut públic áre espec inter turís vist cumpr incen ativ turís,10
"projeto de lei nº , de 2011 ( do sr .","['projeto', 'de', 'lei', 'nº', ',', 'de', '2011', '(', 'do', 'sr', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'O']",0,1,0,0,0,0,0,projeto lei nº 2011 sr,projet lei nº 2011 sr,11
deputado hildo rocha,"['deputado', 'hildo', 'rocha']","['B-PESSOA', 'B-PESSOA', 'I-PESSOA']",0,0,0,2,0,0,0,deputado hildo rocha,deput hild roch,12
"por um lado , há o programa escola aberta do governo federal .","['por', 'um', 'lado', ',', 'há', 'o', 'programa', 'escola', 'aberta', 'do', 'governo', 'federal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUTODELEI', 'I-PRODUTODELEI', 'I-PRODUTODELEI', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O']",0,0,1,0,1,0,0,haver programa escola abrir governo federal,há program escol abert govern feder,13
