sentences,tokens,ner_tokens,FUNDAMENTO,DATA,ORGANIZACAO,PESSOA,PRODUTODELEI,LOCAL,EVENTO,lem_sentence,stem_sentence,id
"sala das sessões , em de de 2019 .","['sala', 'das', 'sessões', ',', 'em', 'de', 'de', '2019', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O']",0,1,0,0,0,0,0,sala sessão 2019,sal sess 2019,0
"cremos que estes avisos , afixados em qualquer estabelecimento podem servir para a formação da consciência sanitária dos motoristas e inibir comportamentos de risco à saúde de todos .","['cremos', 'que', 'estes', 'avisos', ',', 'afixados', 'em', 'qualquer', 'estabelecimento', 'podem', 'servir', 'para', 'a', 'formação', 'da', 'consciência', 'sanitária', 'dos', 'motoristas', 'e', 'inibir', 'comportamentos', 'de', 'risco', 'à', 'saúde', 'de', 'todos', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PESSOA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,1,0,0,0,crer aviso afixar estabelecimento servir formação consciência sanitário motorista inibir comportamento risco saúde,cr avis afix estabelec serv form consci sanitár motor inib comport risc saúd,1
da decisão de que trata o § 12 deste artigo caberá recurso administrativo com efeito suspensivo .,"['da', 'decisão', 'de', 'que', 'trata', 'o', '§', '12', 'deste', 'artigo', 'caberá', 'recurso', 'administrativo', 'com', 'efeito', 'suspensivo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,decisão tratar 12 artigo caber recurso administrativo efeito suspensivo,decis trat 12 artig cab recurs administr efeit suspens,2
"projeto de lei n.º , de 2017 ( do sr .","['projeto', 'de', 'lei', 'n.º', ',', 'de', '2017', '(', 'do', 'sr', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATA', 'O', 'O', 'O', 'O']",0,1,0,0,0,0,0,projeto lei n.º 2017 sr,projet lei n.º 2017 sr,3
art . 4º esta lei entra em vigor na data de sua publicação .,"['art', '.', '4º', 'esta', 'lei', 'entra', 'em', 'vigor', 'na', 'data', 'de', 'sua', 'publicação', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 4º lei entrar vigor data publicação,art 4º lei entr vig dat public,4
"com o forte crescimento da população idosa masculina no país , a perspectiva é a de crescimento vertiginoso dos casos de câncer de próstata , conforme já constatado pelas estatísticas disponíveis .","['com', 'o', 'forte', 'crescimento', 'da', 'população', 'idosa', 'masculina', 'no', 'país', ',', 'a', 'perspectiva', 'é', 'a', 'de', 'crescimento', 'vertiginoso', 'dos', 'casos', 'de', 'câncer', 'de', 'próstata', ',', 'conforme', 'já', 'constatado', 'pelas', 'estatísticas', 'disponíveis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,forte crescimento população idoso masculino país perspectiva crescimento vertiginoso caso câncer próstata conforme constatar estatística disponível,fort cresc popul idos masculin país perspec cresc vertigin cas cânc próstat conform constat estatís dispon,5
"aquela autarquia , aplicando o dispositivo a partir de uma leitura literal da norma , indeferia tais requerimentos , o que levou à proposição de diversas ações na justiça federal em que se pleiteava a aplicação extensiva do parágrafo único do art . 34 do estatuto do idoso . 1 art . 29 .","['aquela', 'autarquia', ',', 'aplicando', 'o', 'dispositivo', 'a', 'partir', 'de', 'uma', 'leitura', 'literal', 'da', 'norma', ',', 'indeferia', 'tais', 'requerimentos', ',', 'o', 'que', 'levou', 'à', 'proposição', 'de', 'diversas', 'ações', 'na', 'justiça', 'federal', 'em', 'que', 'se', 'pleiteava', 'a', 'aplicação', 'extensiva', 'do', 'parágrafo', 'único', 'do', 'art', '.', '34', 'do', 'estatuto', 'do', 'idoso', '.', '1', 'art', '.', '29', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZACAO', 'I-ORGANIZACAO', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'I-FUNDAMENTO', 'O', 'O', 'O', 'O', 'O', 'O']",1,0,1,0,0,0,0,autarquia aplicar dispositivo leitura literal norma indefer requerimento levar proposição diversos ação justiça federal pleitear aplicação extensivo parágrafo único art 34 estatuto idoso 1 art 29,autarqu aplic disposi leit liter norm indef requer lev propos divers açõ justiç feder pleite aplic extens parágraf únic art 34 estatut idos 1 art 29,6
"a câmara dos deputados resolve : art . 1º esta resolução dá denominação ao plenário 2 , do anexo ii , da câmara dos deputados .","['a', 'câmara', 'dos', 'deputados', 'resolve', ':', 'art', '.', '1º', 'esta', 'resolução', 'dá', 'denominação', 'ao', 'plenário', '2', ',', 'do', 'anexo', 'ii', ',', 'da', 'câmara', 'dos', 'deputados', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'I-LOCAL', 'O']",0,0,0,0,0,1,0,câmara deputado resolver art 1º resolução denominação plenário 2 anexo ii câmara deputado,câm deput resolv art 1º resoluç denomin plen 2 anex ii câm deput,7
"art . 2º as normas regulamentadoras definirão as estratégias para o cumprimento desta determinação , disciplinando sobre os participantes , pessoas físicas ou jurídicas , priorizando para temas voltados para a prevenção de acidentes de trânsito , levando em consideração os aspectos humanos e comportamentais .","['art', '.', '2º', 'as', 'normas', 'regulamentadoras', 'definirão', 'as', 'estratégias', 'para', 'o', 'cumprimento', 'desta', 'determinação', ',', 'disciplinando', 'sobre', 'os', 'participantes', ',', 'pessoas', 'físicas', 'ou', 'jurídicas', ',', 'priorizando', 'para', 'temas', 'voltados', 'para', 'a', 'prevenção', 'de', 'acidentes', 'de', 'trânsito', ',', 'levando', 'em', 'consideração', 'os', 'aspectos', 'humanos', 'e', 'comportamentais', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,art 2º norma regulamentadoro definir estratégia cumprimento determinação disciplinar participante pessoa físico jurídico priorizar tema voltar prevenção acidente trânsito levar consideração aspecto humano comportamental,art 2º norm regulament defin estratég cumpr determin disciplin particip pesso físic juríd prioriz tem volt prevenç acid trânsit lev consider aspect human comportament,8
os portadores de formas crônicas de hepatite demandam atenção médica especializada constante para que seu quadro não evolua .,"['os', 'portadores', 'de', 'formas', 'crônicas', 'de', 'hepatite', 'demandam', 'atenção', 'médica', 'especializada', 'constante', 'para', 'que', 'seu', 'quadro', 'não', 'evolua', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0,0,0,0,0,0,0,portador forma crônica hepatite demandar atenção médico especializar constante quadro evolua,port form crôn hepatit demand atenç médic especi const quadr evolu,9
